"f0_box","temp","date_collected","sex","pronotum","rwing_length","rwing_width","lwing_length","lwing_width","rep","pron.w.ratio","sw.yn","rearing_density","days_to_hatch"
"B","28","20/08/2021","F",4.17,14.36,"","",NA,"B.28.20/08/2021",0.290389972144847,"Lw",159,11
"B","28","20/08/2021","F",4.08,13.48,"","",NA,"B.28.20/08/2021",0.302670623145401,"Lw",159,11
"B","28","20/08/2021","F",3.76,12.92,"","",NA,"B.28.20/08/2021",0.291021671826625,"Lw",159,11
"B","28","20/08/2021","F",4.04,13.67,"","",NA,"B.28.20/08/2021",0.295537673738113,"Lw",159,11
"B","28","20/08/2021","F",3.78,13.3,"","",NA,"B.28.20/08/2021",0.28421052631579,"Lw",159,11
"B","28","20/08/2021","F",3.65,13.54,"","",NA,"B.28.20/08/2021",0.269571639586411,"Lw",159,11
"B","28","20/08/2021","F",4,13.95,"","",NA,"B.28.20/08/2021",0.28673835125448,"Lw",159,11
"B","28","20/08/2021","F",4.12,13.8,"","",NA,"B.28.20/08/2021",0.298550724637681,"Lw",159,11
"B","28","20/08/2021","F",3.9,12.96,"","",NA,"B.28.20/08/2021",0.300925925925926,"Lw",159,11
"B","28","20/08/2021","F",3.99,13.84,"","",NA,"B.28.20/08/2021",0.288294797687861,"Lw",159,11
"B","28","20/08/2021","F",3.98,13.68,"","",NA,"B.28.20/08/2021",0.29093567251462,"Lw",159,11
"B","28","20/08/2021","F",3.91,13.2,"","",NA,"B.28.20/08/2021",0.296212121212121,"Lw",159,11
"B","28","20/08/2021","F",3.98,13.61,"","",NA,"B.28.20/08/2021",0.292432035268185,"Lw",159,11
"B","28","20/08/2021","F",3.83,12.71,"","12.64",NA,"B.28.20/08/2021",0.301337529504327,"Lw",159,11
"B","28","20/08/2021","F",4.1,13.37,"","",NA,"B.28.20/08/2021",0.306656694091249,"Lw",159,11
"B","28","20/08/2021","F",4.06,13.92,"","",NA,"B.28.20/08/2021",0.291666666666667,"Lw",159,11
"B","28","20/08/2021","F",4.06,14.08,"","",NA,"B.28.20/08/2021",0.288352272727273,"Lw",159,11
"B","28","20/08/2021","M",4.19,13.86,"4.68","",NA,"B.28.20/08/2021",0.302308802308802,"Lw",159,11
"B","28","20/08/2021","M",4.35,14.3,"4.77","",NA,"B.28.20/08/2021",0.304195804195804,"Lw",159,11
"B","28","20/08/2021","M",3.97,13.46,"4.36","",NA,"B.28.20/08/2021",0.294947994056464,"Lw",159,11
